"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-5.06263889383925,0.00123368949605954,0.397795325978892,-5.77986073185769,-5.33523003234459,-5.08876096716007,-4.81359789295042,-4.21262101110718,103969.897965358,0.999992141728188
"a[2]",-5.03099053480666,0.00191543046461903,0.421136300437287,-6.12470249478145,-5.18833921748479,-4.95866515223826,-4.77870281656513,-4.42092065803671,48340.6598542532,1.00004536813458
"a[3]",-5.17343609137431,0.000114302499677164,0.0457401208762716,-5.26371845193158,-5.20412151060189,-5.17330504670093,-5.14265491300006,-5.08438296194148,160133.855366337,1.00000136204639
"a[4]",-4.09905700899453,1.79854506753539e-05,0.00888477991009029,-4.11654457681638,-4.10506383771133,-4.09905581748606,-4.09307238355934,-4.08165027334877,244034.202391857,0.999996774478189
"a[5]",-3.86366017792962,0.00149520400810382,0.456578399880706,-4.77586193840796,-4.14239564261854,-3.86207334397981,-3.58563618788902,-2.95064466691522,93245.915736354,0.999995334107427
"a[6]",-3.9131434379341,0.000258414635606927,0.0935180718541053,-4.09639281822043,-3.97591044443335,-3.91278940969461,-3.84995994606892,-3.73061207470868,130965.49068896,0.999985555104834
"b[1]",-0.0801125543743784,0.000169334223207969,0.0517027346037582,-0.192997620614722,-0.112103053522561,-0.0751604763173885,-0.0443085286122944,0.00989811776839748,93226.1068114637,0.999997833481956
"b[2]",0.00629290456209305,0.000440282429493889,0.0947342677171676,-0.128364080139491,-0.048265043722277,-0.0126438624323439,0.0385226690586464,0.256384228914865,46296.8556877866,1.00005435791691
"b[3]",-0.0267891824982787,1.62074612172541e-05,0.0063195917349019,-0.0391858567370219,-0.0310486921075435,-0.026791255598817,-0.0225199392705149,-0.0143992595559329,152036.569839767,0.999990598907241
"b[4]",-0.00800239558176656,1.57931990922105e-06,0.000754188079001945,-0.0094783905140421,-0.00851116900640757,-0.00800298692357898,-0.00749493422789131,-0.00652522849775705,228044.239669983,1.00000547767545
"b[5]",-0.0278136868929253,0.000291326955511716,0.0752301375236591,-0.175566453907215,-0.067145266372551,-0.0308547479856188,0.00788798805128375,0.137963275952756,66684.1117824621,1.0000028678925
"b[6]",-0.0733336012748422,3.54409709730059e-05,0.0127964787088062,-0.0984588207698706,-0.0819738649047647,-0.0733306791299115,-0.0646699762570569,-0.0483182245621103,130367.618901783,0.999985106565772
"c[1]",-0.0395553124680808,0.000111222204983088,0.0379337113332113,-0.112581536363542,-0.065357465473024,-0.0399482400961225,-0.0142381845063816,0.0361195290929221,116323.555593486,1.00001066099271
"c[2]",0.0780690186012476,0.000138076395813649,0.050982943562274,-0.0210105729665282,0.0440165444084167,0.0775140652799377,0.111820815356804,0.17962516735323,136336.119415645,1.00003105964424
"c[3]",0.0814217291209206,1.90514539433324e-05,0.00853341288211951,0.0647351008643884,0.0756745579935516,0.0814018227781594,0.0871562363483789,0.0981490053934007,200626.948600371,0.999994571680505
"c[4]",0.0127590225475306,0.00115596444464757,0.267461871359107,-0.519478688685694,-0.0804100661060901,0.0199273149788856,0.107408188101594,0.520428023271988,53534.630005189,1.00001686210786
