"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sigma_b",0.256011999212928,0.000351316363669679,0.0919957348626562,0.136665950133398,0.191593202651236,0.236543527130637,0.298289720018276,0.489505472054768,68570.7071129207,1.00005614585403
"sigma_c",0.455546129460914,0.000603301704157515,0.156641503336362,0.250428105149973,0.346378728008647,0.421500154702187,0.52745139345628,0.858465580415545,67413.1438091541,1.00003625536579
"p1_1",0.00354565588506631,7.41107537907552e-07,0.000489932431194613,0.00265095887660773,0.00320335252152268,0.0035234509127687,0.00386335151241866,0.00456507675651553,437028.657538476,1.00000065733143
"p1_2",0.00292415639560332,6.85909575540878e-07,0.00037823941684062,0.00224292947316586,0.00266047964364177,0.00290402812295917,0.00316630263162137,0.00372414725020335,304088.389803955,1.00000142459282
"p1_3",0.00231967863237986,6.21621581965208e-07,0.00033236805646443,0.00170161338386485,0.00208945772652837,0.0023077721428151,0.00253584286675552,0.00300688746473221,285881.720157034,0.999998156344346
"p2_1",0.00662797866207211,1.37352890148699e-06,0.000764559829398076,0.00519558226201473,0.00610388169264057,0.00660365697337656,0.00712634074751847,0.00819216812246654,309847.037275044,1.00001281607284
"p2_2",0.0066491765897182,1.4543819996979e-06,0.000785468675257091,0.00522731959720251,0.00610277565767245,0.00660846195011499,0.00715025937030409,0.00829882629026953,291676.042101037,0.999999827255969
"p2_3",0.00901677335290961,1.84401217626969e-06,0.00123752967720055,0.00677175732760016,0.00815435225614173,0.00895577466654446,0.00981427938957565,0.0116085772340872,450384.74929259,0.999994866991439
"p3_1",0.00506518234209894,2.08486983958254e-07,0.000124282218826727,0.00482441377111738,0.00498089920700629,0.00506419747401409,0.00514828401146753,0.00531161214972703,355353.095423485,1.00000522844137
"p3_2",0.00435121096278894,2.01488329056198e-07,0.000115055854678206,0.00412869665262135,0.00427284028396942,0.00435031253780099,0.00442840323868756,0.00457937703407592,326075.114306825,1.00000272540132
"p3_3",0.00604523413153672,2.02094108097136e-07,0.00013604494063972,0.00578106280634867,0.00595312311301803,0.00604452209264483,0.00613645546470938,0.00631511362097066,453166.17565085,1.00000390681887
"p4_1",0.0159164166771333,1.5100413962357e-07,0.000111299678404163,0.0156990899176879,0.015841213769601,0.0159162094959865,0.0159916205916534,0.0161349109104385,543262.981206061,0.999996007278082
"p4_2",0.0142919201200611,1.65074401896439e-07,0.000105438531095568,0.0140858201600835,0.0142207744035041,0.0142916906446974,0.0143626903370668,0.0144998823321503,407980.333982505,1.00000135263641
"p5_1",0.0190803470467194,9.07764014779378e-06,0.00520166809634807,0.0105845285420455,0.015343241576057,0.0185099957175555,0.022211059100803,0.0307422331284575,328351.761182679,1.00000139704966
"p5_2",0.0123150221289389,6.03248247485212e-06,0.00351600801287778,0.00635760157999465,0.00979936664212615,0.0120017990315419,0.0144868853432286,0.0200405892502569,339709.407994511,1.00000854973152
"p5_3",0.0128746505009679,5.25523231601222e-06,0.00322000480915459,0.00730288012688748,0.010589756009155,0.0126234708033921,0.0148847696605299,0.0198652376475099,375430.197323586,1.00001161177252
"p6_1",0.0136616049618686,9.5883220902728e-07,0.000490522352554789,0.012718794159618,0.0133270262517094,0.0136557004901679,0.0139891577586484,0.0146400748084564,261717.26679786,1.00000377550748
"p6_2",0.00951798783401103,8.25049078424203e-07,0.000430781336926621,0.00869529469485606,0.00922338803359857,0.00951158283990069,0.00980520718662282,0.0103819570761829,272617.789770589,1.00000602576484
"p6_3",0.0118193225357021,4.69154236029162e-07,0.000297152575501693,0.0112454161593283,0.011617659069274,0.0118166996570537,0.0120176878605985,0.0124099643735436,401169.321180411,0.999998901953746
"pi1_1",0.13840883785605,2.68675757480282e-05,0.017744897160761,0.105497976069597,0.126071538076485,0.13778124222076,0.150047665666207,0.174835236037872,436204.36747372,1.00000066987569
"pi1_2",0.115622073637837,2.54706291647047e-05,0.014055156369972,0.0899983274394693,0.105856543133784,0.114981407526024,0.124706211696144,0.145044761783383,304503.3098815,1.00000143432544
"pi1_3",0.0928470562007468,2.37357735655236e-05,0.0126737829974107,0.0690303824413018,0.0841008649371031,0.0924788836646882,0.101151401416909,0.118807807178335,285105.603512762,0.999998167411722
"pi2_1",0.130230094291661,2.52816149824705e-05,0.01403909257971,0.103620718994158,0.120651790683827,0.129890931669314,0.139454632418963,0.158647089375224,308367.393384306,1.00001298713315
"pi2_2",0.130613870507416,2.66012527643736e-05,0.0143995324201507,0.104221070093585,0.12063124063423,0.129979308966583,0.139889874248277,0.160545093326404,293016.853335305,0.999999866752188
"pi2_3",0.172945243223414,3.21965969466523e-05,0.0216111513780656,0.132977702044896,0.157973167406158,0.172146019419713,0.187076194743765,0.217456790953589,450542.608377644,0.999994845920808
"pi5_1",0.142158567983866,6.27172092603879e-05,0.0359617781347343,0.081604859581557,0.116352752397102,0.138833656794021,0.16447207859507,0.221041504290894,328782.629305608,1.00000175227569
"pi5_2",0.0940565479036084,4.40711753813171e-05,0.0256310275276657,0.0497433543578492,0.0757582167909513,0.0920765562122151,0.110185939514269,0.149518829074193,338238.288010225,1.00000880476354
