"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-5.06055014667033,0.00131970028375748,0.398264957954219,-5.77720006495754,-5.33364684784402,-5.08855387073263,-4.81024653150116,-4.20873831516521,91073.8239190048,1.0000529112252
"a[2]",-5.02516355200571,0.00202565497887434,0.418786773924572,-6.10661493305505,-5.17867976313827,-4.95316051696477,-4.77600303827821,-4.4195077248083,42742.0121230892,1.00014638798427
"a[3]",-5.17327539770942,0.00012033713409255,0.0454665497082087,-5.26237832186277,-5.20387645256622,-5.17330433037957,-5.14259102275234,-5.08397051622703,142752.810814638,1.00000040471169
"a[4]",-4.09901401127842,1.81401617267877e-05,0.00894463747568243,-4.11654163855349,-4.10504986775693,-4.0990108122048,-4.09298244368509,-4.08145193915354,243132.590561787,0.999988703038834
"a[5]",-3.85721437631157,0.0014587492221062,0.457214573054216,-4.76630014337715,-4.1350531502593,-3.85629605865639,-3.58023806069677,-2.95151041060208,98237.8511091697,0.99998693293631
"a[6]",-3.91331126104935,0.000271550494751855,0.0935535643199023,-4.09744443688283,-3.97611489559765,-3.91316060585554,-3.85018768254186,-3.72994929798977,118691.462201161,1.00004640925013
"b[1]",-0.0803838196805714,0.000180476790955443,0.0516600993419368,-0.193447410827333,-0.11201044584418,-0.0753560427463456,-0.0446144227565779,0.00917200633255502,81934.6784240848,1.00006726402213
"b[2]",0.00499172372450286,0.000467259976686029,0.0941016192285189,-0.127984050717187,-0.0485157517786648,-0.0136286260774195,0.0358523021146662,0.253479904010282,40558.0463360655,1.00014175513048
"b[3]",-0.0268202864371015,1.72878072579469e-05,0.00627679666363618,-0.039155049061206,-0.0310152130720209,-0.0268277252688574,-0.0225877008099897,-0.0145029366938949,131824.549546012,1.00000231966167
"b[4]",-0.00800485739862279,1.56592599147142e-06,0.000754493405249743,-0.00949034346549898,-0.00851326906253605,-0.00800439333691515,-0.00749471667401759,-0.00652776697130028,232149.862582851,0.999989259920498
"b[5]",-0.0285964352045527,0.000289346893862569,0.0753263433355347,-0.177051687497162,-0.0679476933494214,-0.0312889402486587,0.0073575885957859,0.136368687023589,67772.9081479457,0.999987563324408
"b[6]",-0.0733171550600083,3.7120918448539e-05,0.0127848371823611,-0.0984773294084678,-0.0818862667074035,-0.0732986483081797,-0.0646895772411673,-0.0482439943635952,118618.65001649,1.00005543567143
"c[1]",-0.0395650177804738,0.000109826432021062,0.0380184675116319,-0.112997339880202,-0.0653472724030802,-0.0401067533625684,-0.0141924920089556,0.0364495003593056,119832.733010936,1.00004214660166
"c[2]",0.0783107714335937,0.000136267530972153,0.0509450930899484,-0.020940982475476,0.0442293367167509,0.0776456545011747,0.112168268523173,0.179230061034677,139771.92491983,1.00001459926155
"c[3]",0.0814665575742293,1.92104884485949e-05,0.00853383302776305,0.0647230160048907,0.0756892792117879,0.0814766384184684,0.0872161134741059,0.0981614223299203,197338.338631302,0.999988251065514
"c[4]",0.0116497515466625,0.00101333036491239,0.264323594315751,-0.514211543831513,-0.0806614085698865,0.0200492176955188,0.106951883194829,0.509714355905343,68040.8529482326,1.00006913043463
"c[5]",-0.0742591340600863,0.000406090883084882,0.108330097521698,-0.313618887116875,-0.140435132865382,-0.0631278592988753,0.00306273685136198,0.105180662769327,71162.5970690886,1.0000078000484
"c[6]",0.0128383728149806,0.000956450376167832,0.26199833363582,-0.508628025611627,-0.0810282070513488,0.0202294407865814,0.107724412151084,0.510734396553354,75036.4317557267,1.00002964522857
"a0",-4.49903636109597,0.00104615161365711,0.372872487907915,-5.24378294691866,-4.72104913735037,-4.50172189218155,-4.28007841610357,-3.7417726058371,127037.349009969,1.00000443799653
"b0",-0.0354597972132525,0.000171186646167508,0.0457698181209178,-0.119571929678065,-0.0566277609029326,-0.0369237587946383,-0.017503846425263,0.062574260620788,71485.6065297651,1.0000299150312
"c0",0.0120064507745553,0.000459642279469633,0.120057116107983,-0.234504949468425,-0.0340585447953283,0.0185027938840058,0.0627551466845958,0.234136587306063,68223.7951133047,1.00001740835225
"sigmasq_a",0.80201338671568,0.000978094573448178,0.303885237693821,0.390284729634104,0.585979092991238,0.740696888949924,0.951259343201072,1.55887613352946,96528.9334227822,1.00000576425838
"sigmasq_b",0.0741536898858411,0.000338594051932127,0.0628541900834098,0.0186962430991166,0.0367417451431622,0.0558694365592613,0.089169130380337,0.240898569919603,34459.5673129502,1.00019595187865
"sigmasq_c",0.173807435026628,0.000977120234787654,0.15869750020339,0.0337619587041444,0.0805962786576282,0.127353482586695,0.209517369995039,0.601167030765233,26378.1393145025,1.00006186001299
"sigma_a",0.881062793073133,0.000504626533571492,0.160442739673486,0.624727724400051,0.765492712565308,0.860637489858378,0.975325249955168,1.24854961195265,101088.086073871,1.00000839129539
"sigma_b",0.256197151933989,0.000495599481113145,0.0922862540120337,0.136734206030794,0.19168136357597,0.236367164721326,0.298612006423226,0.490814190827165,34674.6710579477,1.00020968782817
"sigma_c",0.388137500251349,0.000928248044241603,0.152173697045105,0.183744275295472,0.283894837321174,0.356866197032011,0.457730674075517,0.775349618401825,26875.1624476283,1.00006840448279
"p1_1",0.00350978551453628,1.23456729760192e-06,0.000493293182984915,0.00260734141185625,0.00316523779177178,0.00348838767645111,0.00383053597170681,0.00453678476615128,159654.325772831,1.00001032831571
"p1_2",0.00295232154129576,1.11521568440811e-06,0.000385397664728382,0.00226149059099015,0.00268321683979703,0.00293009832653583,0.00319755893766091,0.00377364583356412,119426.42172761,1.00005808355731
