"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b[6]",-0.0725399486823497,3.70381947074429e-05,0.0128405350895461,-0.0977174325884949,-0.0812040272989099,-0.072499985039337,-0.0638342202467161,-0.0474589430368884,120189.52620056,1.0000589428761
"c[1]",-0.0438559568552131,8.43683816788382e-05,0.0371170386955373,-0.115970084660821,-0.0689928175951666,-0.044194466598548,-0.0189501968087712,0.0295794980306719,193547.337714675,1.00003272544871
"c[2]",0.0864567574971685,0.000126957430974244,0.0524088047788279,-0.017578860713238,0.051531412162187,0.0867790455791767,0.121798266043278,0.188219139675994,170408.89461604,0.999999492078597
"c[3]",0.162265635982561,4.01647629020325e-05,0.0171200594675972,0.128633783384401,0.150751905398798,0.162280068260134,0.173806906348031,0.195801353506384,181685.438986568,0.999995135557097
"c[4]",0.0263864140618945,0.00124055644239815,0.33448142794707,-0.647210603379547,-0.106508417327327,0.0329741685019688,0.163354797203498,0.672944843935444,72696.0745390155,1.00001263858265
"c[5]",-0.0973997891363911,0.000370654143518785,0.113803532369571,-0.338606641694973,-0.169682499290505,-0.0909035606197731,-0.0180159516200239,0.106470889415103,94270.0561945832,1.00003187515712
"c[6]",0.026451554988557,0.00125283302499847,0.334984343414451,-0.654607547546801,-0.10607040478097,0.0334904487892128,0.1624216759627,0.674438454551727,71492.8537117012,1.00004272146611
"a0",-4.48754963400435,0.00116473265980897,0.390140678747535,-5.28225115485282,-4.71693792205438,-4.48652462782367,-4.25609633919645,-3.70469288161881,112199.252449482,1.0000137744919
"b0",-0.0325214247175543,0.000179792655699027,0.0457007640850711,-0.113470936325834,-0.0537342852498901,-0.0347813544861697,-0.0151901463621366,0.0658276525192358,64610.4889582681,1.00009210725256
"c0",0.0267845507731664,0.000599762389080908,0.151634779391543,-0.287477126861003,-0.0360347574081419,0.0326908327390162,0.0940579737355031,0.313550342210487,63920.3570054942,1.00001653966062
"sigmasq_a",0.829814241056378,0.000979312993024019,0.309765738185757,0.405801648049385,0.609032305640007,0.769147329658584,0.984487863603825,1.59772718476464,100051.528617137,1.00005138468853
"sigmasq_b",0.0729120267853191,0.000350494950706764,0.0620368897692336,0.018315861467575,0.036191284996918,0.0550638032641047,0.0876059044333978,0.23504304387114,31328.2763330527,1.00022719862893
"sigmasq_c",0.234324910059239,0.00105709448209921,0.185552364781742,0.0635341878775503,0.121786923948156,0.179876617416695,0.280743511593927,0.741535223157621,30810.9703092476,1.00017282303529
"sigma_a",0.896551887760182,0.000498348723846039,0.161273327954292,0.637025625896763,0.780405218869898,0.877010450142105,0.992213617925382,1.26401233568243,104726.935360807,1.00005707314611
"sigma_b",0.254043209537725,0.000510634283461663,0.0915102026999097,0.135336105554726,0.190240072005965,0.23465677757902,0.295982946186746,0.484812380071997,32115.8259495619,1.00024207934506
"sigma_c",0.457949785251498,0.000868104184910895,0.156866279975706,0.252059889463709,0.348979833153616,0.424118636016712,0.529852348859123,0.861124394700192,32652.4291198907,1.00017991022656
"p1_1",0.00354834884199169,1.06381367158274e-06,0.000490603555615198,0.00265119596887925,0.00320749623816657,0.0035257057566687,0.00386620699900558,0.00457322473584132,212681.761244802,1.00002642409575
